segment,K,lags,lambda_f,lambda_x,lambda_w,alpha,eta,rmse,runtime
2,1,[1],0.1,0.1,0.1,1000,0.1,0.4740019071498022,2.8802919387817383
3,1,[1],0.1,0.1,0.1,1000,0.1,2.3507261667633594,2.8942551612854004
4,1,[1],0.1,0.1,0.1,1000,0.1,1.739309509487585,2.7675940990448
5,1,[1],0.1,0.1,0.1,1000,0.1,1.4460621711923434,2.839401960372925
6,1,[1],0.1,0.1,0.1,1000,0.1,1.109851075383773,3.0239098072052
7,1,[1],0.1,0.1,0.1,1000,0.1,0.8101907424074336,3.0697855949401855
8,2,[1],0.1,0.1,0.1,1000,0.1,0.6415427265272834,3.4118704795837402
9,1,[1],0.1,0.1,0.1,1000,0.1,0.6333852664122458,3.060810089111328
10,1,[1],0.1,0.1,0.1,1000,0.1,1.0894640336158685,3.1216471195220947
11,1,[1],0.1,0.1,0.1,1000,0.1,1.022371972302972,2.910212755203247
12,1,[1],0.1,0.1,0.1,1000,0.1,0.9320574672545702,2.87031888961792
13,1,[1],0.1,0.1,0.1,1000,0.1,1.014678932947999,3.2133984565734863
14,2,[1],0.1,0.1,0.1,1000,0.1,1.280309049070177,3.6422533988952637
15,1,[1],0.1,0.1,0.1,1000,0.1,1.670070494864175,2.8224480152130127
16,2,[1],0.1,0.1,0.1,1000,0.1,0.7907353651384275,3.3380677700042725
17,1,[1],0.1,0.1,0.1,1000,0.1,0.9671624213860134,2.798511505126953
18,1,[1],0.1,0.1,0.1,1000,0.1,0.7973725966157941,2.8184568881988525
19,4,[1],0.1,0.1,0.1,1000,0.1,0.3610248849660965,3.5455124378204346
20,1,[1],0.1,0.1,0.1,1000,0.1,0.898499167813377,2.8294284343719482
21,1,[1],0.1,0.1,0.1,1000,0.1,0.8678744905939393,2.7835514545440674
22,1,[1],0.1,0.1,0.1,1000,0.1,0.9781651502528234,2.8194563388824463
23,2,[1],0.1,0.1,0.1,1000,0.1,2.310017865550478,3.3211119174957275
24,1,[1],0.1,0.1,0.1,1000,0.1,0.5915148652807689,2.858351469039917
25,2,[1],0.1,0.1,0.1,1000,0.1,1.0451371121708095,3.3121328353881836
26,1,[1],0.1,0.1,0.1,1000,0.1,1.0779366330709341,2.811476469039917
27,2,[1],0.1,0.1,0.1,1000,0.1,1.520456546427113,3.346047878265381
28,2,[1],0.1,0.1,0.1,1000,0.1,0.5826246022630064,3.355020761489868
29,2,[1],0.1,0.1,0.1,1000,0.1,2.9136411374208304,3.311140298843384
30,2,[1],0.1,0.1,0.1,1000,0.1,0.7608867660693401,3.4138646125793457
31,1,[1],0.1,0.1,0.1,1000,0.1,1.7394484765892604,2.819455623626709
0,1,[1],0.1,0.1,0.1,1000,1.0,0.8576461122777262,2.7925264835357666
1,1,[1],0.1,0.1,0.1,1000,1.0,0.9402436618280001,2.779562473297119
2,1,[1],0.1,0.1,0.1,1000,1.0,0.473981582206711,2.7975142002105713
3,1,[1],0.1,0.1,0.1,1000,1.0,3.0742536566035334,2.770585060119629
4,1,[1],0.1,0.1,0.1,1000,1.0,1.7395658016545619,2.825439929962158
5,1,[1],0.1,0.1,0.1,1000,1.0,1.4639941228557185,2.730691909790039
6,1,[1],0.1,0.1,0.1,1000,1.0,1.0828008629270156,2.8034965991973877
7,1,[1],0.1,0.1,0.1,1000,1.0,1.0285524675808255,2.8294284343719482
8,2,[1],0.1,0.1,0.1,1000,1.0,0.5678920490002888,3.4158589839935303
9,1,[1],0.1,0.1,0.1,1000,1.0,0.6333741489361532,2.802501678466797
10,1,[1],0.1,0.1,0.1,1000,1.0,1.0942660027434439,2.8683252334594727
11,1,[1],0.1,0.1,0.1,1000,1.0,1.0167083044786032,2.7286975383758545
12,1,[1],0.1,0.1,0.1,1000,1.0,0.8422465686515642,2.8244409561157227
13,1,[1],0.1,0.1,0.1,1000,1.0,0.9748018061105054,2.786543607711792
14,2,[1],0.1,0.1,0.1,1000,1.0,1.0934317859562606,3.389927864074707
15,1,[1],0.1,0.1,0.1,1000,1.0,1.662428909419533,2.727698802947998
16,2,[1],0.1,0.1,0.1,1000,1.0,0.7888214917244322,3.4557533264160156
17,1,[1],0.1,0.1,0.1,1000,1.0,0.9584213173822329,2.753631353378296
18,1,[1],0.1,0.1,0.1,1000,1.0,0.8022622688183989,2.8254382610321045
19,4,[1],0.1,0.1,0.1,1000,1.0,0.41995146565347174,3.5864028930664062
20,1,[1],0.1,0.1,0.1,1000,1.0,0.9322461516900925,2.812474012374878
21,1,[1],0.1,0.1,0.1,1000,1.0,0.8764539429368738,2.7516372203826904
22,1,[1],0.1,0.1,0.1,1000,1.0,0.9858032839577114,2.883284568786621
23,2,[1],0.1,0.1,0.1,1000,1.0,1.512809353238125,3.3450493812561035
24,1,[1],0.1,0.1,0.1,1000,1.0,0.6576265600084025,2.878296136856079
25,2,[1],0.1,0.1,0.1,1000,1.0,0.9551256666806053,3.3560197353363037
